300,1,2011,3,100,89
301,1,2011,3,102,75.5
301,2,2011,3,100,78
361,1,2011,3,105,72
371,1,2011,3,160,75.5
390,1,2011,3,102,60.5
100,1,2012,1,100,59.5
100,1,2012,1,102,97
100,1,2012,1,105,45.5
100,1,2012,1,160,65.5
100,1,2012,1,211,88
100,1,2012,1,448,78
100,1,2012,1,503,94
100,2,2012,1,118,99
100,2,2012,1,169,67.5
100,2,2012,1,289,86.5
100,2,2012,1,360,72
100,2,2012,1,363,78
100,2,2012,1,708,77
300,1,2012,1,101,59
300,1,2012,1,102,69
300,1,2012,1,582,79
300,1,2012,1,662,93
300,1,2012,1,680,86.5
300,1,2012,1,742,73
300,1,2012,1,803,79
301,1,2012,1,703,84
301,2,2012,1,707,90
361,1,2012,1,102,69
361,1,2012,1,582,68
361,1,2012,1,662,79.5
361,1,2012,1,742,95
361,2,2012,1,363,81.5
361,2,2012,1,503,89
361,2,2012,1,603,69.5
361,2,2012,1,663,73
361,2,2012,1,693,78
361,3,2012,1,101,57.5
361,3,2012,1,211,80
361,3,2012,1,351,79
361,3,2012,1,511,84
361,4,2012,1,160,78
361,4,2012,1,360,68
361,4,2012,1,590,65
361,4,2012,1,680,86
384,1,2012,1,448,79.5
384,1,2012,1,511,65.5
384,1,2012,1,590,75
384,1,2012,1,707,72
384,1,2012,1,716,79
405,1,2012,1,708,93
405,1,2012,1,716,79
405,1,2012,1,826,90
405,1,2012,1,858,65
405,1,2012,1,944,69
405,2,2012,1,169,50
405,2,2012,1,395,74
405,2,2012,1,603,67.5
405,2,2012,1,707,55.5
405,2,2012,1,803,90
405,2,2012,1,831,91.5
405,2,2012,1,859,56.5
405,2,2012,1,861,40
454,1,2012,1,211,74
454,1,2012,1,351,94
454,1,2012,1,582,87
454,1,2012,1,605,99
459,1,2012,1,100,100
459,1,2012,1,101,91
459,1,2012,1,160,59.5
459,1,2012,1,211,74
459,1,2012,1,363,71
459,1,2012,1,554,99
459,1,2012,1,662,83
459,1,2012,1,708,75
459,1,2012,1,742,80.5
