300,1,2011,3,100
301,1,2011,3,102
301,2,2011,3,100
361,1,2011,3,105
371,1,2011,3,160
390,1,2011,3,102
100,1,2012,1,100
100,1,2012,1,102
100,1,2012,1,105
100,1,2012,1,160
100,1,2012,1,211
100,1,2012,1,448
100,1,2012,1,503
100,2,2012,1,118
100,2,2012,1,169
100,2,2012,1,289
100,2,2012,1,360
100,2,2012,1,363
100,2,2012,1,708
300,1,2012,1,101
300,1,2012,1,102
300,1,2012,1,582
300,1,2012,1,662
300,1,2012,1,680
300,1,2012,1,742
300,1,2012,1,803
301,1,2012,1,703
301,2,2012,1,707
361,1,2012,1,102
361,1,2012,1,582
361,1,2012,1,662
361,1,2012,1,742
361,2,2012,1,363
361,2,2012,1,503
361,2,2012,1,603
361,2,2012,1,663
361,2,2012,1,693
361,3,2012,1,101
361,3,2012,1,211
361,3,2012,1,351
361,3,2012,1,511
361,4,2012,1,160
361,4,2012,1,360
361,4,2012,1,590
361,4,2012,1,680
384,1,2012,1,448
384,1,2012,1,511
384,1,2012,1,590
384,1,2012,1,707
384,1,2012,1,716
405,1,2012,1,708
405,1,2012,1,716
405,1,2012,1,826
405,1,2012,1,858
405,1,2012,1,944
405,2,2012,1,169
405,2,2012,1,395
405,2,2012,1,603
405,2,2012,1,707
405,2,2012,1,803
405,2,2012,1,831
405,2,2012,1,859
405,2,2012,1,861
454,1,2012,1,211
454,1,2012,1,351
454,1,2012,1,582
454,1,2012,1,605
459,1,2012,1,100
459,1,2012,1,101
459,1,2012,1,160
459,1,2012,1,211
459,1,2012,1,363
459,1,2012,1,554
459,1,2012,1,662
459,1,2012,1,708
459,1,2012,1,742
