300,1,204,2011,3,305,3,900,1200,15
301,1,209,2011,3,306,2,900,1200,15
301,2,219,2011,3,305,5,1400,1700,25
361,1,123,2011,3,400,1,900,1200,25
371,1,220,2011,3,400,1,1200,1500,15
390,1,204,2011,3,401,2,900,1200,10
100,1,204,2012,1,301,1,900,1200,15
100,2,105,2012,1,301,3,900,1200,15
300,1,110,2012,1,305,1,900,1200,20
301,1,110,2012,1,306,2,900,1200,20
301,2,100,2012,1,305,5,1400,1700,15
361,1,122,2012,1,400,1,900,1200,20
361,2,123,2012,1,401,3,1200,1400,10
361,3,100,2012,1,401,2,1500,1800,10
361,4,221,2012,1,400,1,1300,1600,20
384,1,205,2012,1,401,2,900,1200,20
405,1,201,2012,1,200,4,900,1200,20
405,2,220,2012,1,200,5,900,1200,20
454,1,219,2012,1,200,5,1200,1500,20
459,1,178,2012,1,200,4,1200,1500,20
